Benchmark	L1I_s	L1I_a	L1D_s	L1D_a	L2_s	L2_a	LINE_s		CPI	L1I_miss	L1D_miss	L2_miss		Power	Energy	Delay	Area	EDA
specmcf	32	2	64	2	2	8	256	1.320988	0.025549	0.001105	0.013032	27.206600	0.236353	0.066049	90.387300	1.411025
specmcf	32	2	64	2	2	8	32	1.365106	0.014561	0.002982	0.127916	2.225930	0.066767	0.068255	11.513300	0.052468
specmcf	32	2	64	2	2	8	64	1.337784	0.020323	0.001930	0.056083	3.865670	0.095265	0.066889	14.228630	0.090668
specmcf	32	2	64	2	4	8	64	1.337416	0.020323	0.001930	0.055830	3.990780	0.095981	0.066871	20.547230	0.131879
specmcf	32	2	64	4	2	8	64	1.337467	0.020323	0.001862	0.056271	3.598030	0.077192	0.066873	13.092060	0.067582
specmcf	32	4	64	2	2	8	64	1.209728	0.000022	0.001930	0.726587	4.271100	0.091848	0.060486	14.991990	0.083288
specmcf	32	8	64	2	2	8	64	1.209630	0.000022	0.001930	0.726808	4.626570	0.094515	0.060481	15.838100	0.090536
specmcf	64	2	128	2	2	8	64	1.209303	0.000022	0.001829	0.778721	5.361990	0.134209	0.060465	19.275300	0.156418
specsjeng	128	2	64	2	2	8	64	10.318995	0.000025	0.121835	0.999972	5.404940	0.985095	0.515950	19.034000	9.674219
specsjeng	32	1	64	2	2	8	64	10.318844	0.000041	0.121835	0.999877	3.835520	0.628651	0.515942	14.195420	4.604251
specsjeng	32	2	64	1	2	8	64	10.319038	0.000026	0.121869	0.999404	3.860870	0.627490	0.515952	14.188850	4.593707
specsjeng	32	2	64	2	1	8	64	10.321508	0.000026	0.121835	0.999964	3.759560	0.626386	0.516075	11.390630	3.682160
specsjeng	32	2	64	2	2	16	64	10.319355	0.000026	0.121835	0.999964	3.866910	0.629023	0.515968	14.902350	4.836640
specsjeng	32	2	64	2	2	1	64	10.318347	0.000026	0.121835	0.999964	3.863320	0.628531	0.515917	14.702160	4.767464
specsjeng	32	2	64	2	2	2	64	10.318310	0.000026	0.121835	0.999964	3.864920	0.628668	0.515916	14.915740	4.837773
specsjeng	32	2	64	2	2	4	64	10.318529	0.000026	0.121835	0.999964	3.865030	0.628703	0.515926	14.910740	4.836513
specsjeng	32	2	64	2	2	8	128	6.831309	0.000018	0.060920	0.999930	9.228860	0.511634	0.341565	49.473500	8.645799
specsjeng	32	2	64	2	2	8	256	5.199911	0.000014	0.030463	0.999847	27.206600	0.824358	0.259996	90.387300	19.372697
specsjeng	32	2	64	2	2	8	32	17.736855	0.000030	0.243664	0.999982	2.225930	0.745535	0.886843	11.513300	7.612281
specsjeng	32	2	64	2	2	8	64	10.318732	0.000026	0.121835	0.999964	3.865670	0.628812	0.515937	14.228630	4.616159
specsjeng	32	2	64	2	4	8	64	10.313424	0.000026	0.121835	0.999964	3.990780	0.632742	0.515671	20.547230	6.704284
specsjeng	32	2	64	4	2	8	64	10.318826	0.000026	0.121835	0.999965	3.598030	0.491395	0.515941	13.092060	3.319244
specsjeng	32	4	64	2	2	8	64	10.318505	0.000025	0.121835	0.999971	4.271100	0.669687	0.515925	14.991990	5.179855
specsjeng	64	2	128	2	2	8	64	10.318928	0.000025	0.121834	0.999975	5.361990	1.001031	0.515946	19.275300	9.955265
